3
0	265	1504299600	1504301399	34	49.9805555556,4.1458333333	49.9802777778,4.1502777778	49.9616666667,4.3666666667	49.95,4.4833333333	49.9655555556,4.5352777778	49.975,4.5666666667	49.9833333333,4.8666666667	49.8619444444,4.8577777778	49.8,4.8583333333	49.8,4.9394444444	49.8,4.9880555556	49.7361111111,5.115	49.7341666667,5.1205555556	49.7166666667,5.1633333333	49.6930555556,5.2627777778	49.6772222222,5.2911111111	49.6483333333,5.3158333333	49.6252777778,5.3716666667	49.6166666667,5.3833333333	49.6011111111,5.4205555556	49.5677777778,5.4422222222	49.3191666667,4.2925	49.2666666667,4.05	49.2225,3.72	49.2686111111,3.6830555556	49.28,3.6658333333	49.45,3.6322222222	49.7147222222,3.4847222222	49.6908333333,3.3547222222	49.7833333333,3.4158333333	49.8188888889,3.4391666667	49.9283333333,3.5116666667	50.0,3.5597222222	49.9805555556,4.1458333333
115	265	1504299600	1504301399	11	50.3397222222,3.7875	50.3405555556,3.8730555556	50.3338888889,3.9266666667	50.3283333333,3.9730555556	50.3147222222,4.0897222222	50.2966666667,4.1188888889	50.2247222222,4.1780555556	50.1488888889,4.1680555556	49.9805555556,4.1458333333	50.0,3.5597222222	50.3397222222,3.7875
195	265	1504299600	1504301399	11	49.7147222222,3.4847222222	49.45,3.6322222222	49.28,3.6658333333	49.2686111111,3.6830555556	49.2225,3.72	49.1827777778,3.4213888889	49.1666666667,3.3	49.4569444444,3.2002777778	49.5111111111,3.2361111111	49.6908333333,3.3547222222	49.7147222222,3.4847222222
