3
285	999	1504252800	1504254599	26	59.9625,11.3666666667	59.9161111111,12.1188888889	59.8908333333,12.0991666667	59.8908333333,12.0491666667	59.8911111111,12.02	59.8955555556,12.0	59.8833333333,11.9166666667	59.8333333333,11.8333333333	59.7919444444,11.9269444444	59.7,11.9166666667	59.6536111111,11.8630555556	59.6430555556,11.7808333333	59.6183333333,11.5855555556	59.5016666667,11.5097222222	58.9352777778,11.6722222222	58.9,11.6666666667	58.8833333333,11.4666666667	59.1088888889,11.3494444444	59.0922222222,11.2433333333	59.0158333333,11.1172222222	58.9566666667,10.9677777778	58.9333333333,10.8305555556	59.2125,10.8833333333	59.2458333333,10.9138888889	59.4736111111,11.1222222222	59.9625,11.3666666667
215	285	1504252800	1504254599	29	59.9625,11.3666666667	59.9161111111,12.1188888889	59.8908333333,12.0991666667	59.8908333333,12.0491666667	59.8911111111,12.02	59.8955555556,12.0	59.8833333333,11.9166666667	59.8333333333,11.8333333333	59.7919444444,11.9269444444	59.7,11.9166666667	59.6536111111,11.8630555556	59.6430555556,11.7808333333	59.6,11.7	59.5694444444,11.7036111111	59.5180555556,11.7252777778	59.3666666667,11.7944444444	59.3175,11.8205555556	59.125,11.7691666667	58.9,11.6666666667	58.8833333333,11.4666666667	59.1088888889,11.3494444444	59.0922222222,11.2433333333	59.0158333333,11.1172222222	58.9566666667,10.9677777778	58.9333333333,10.8305555556	59.2125,10.8833333333	59.2458333333,10.9138888889	59.4736111111,11.1222222222	59.9625,11.3666666667
215	999	1504252800	1504254599	29	58.8055555556,9.3138888889	59.2486111111,9.9916666667	59.6041666667,10.3	59.95,10.4125	59.9583333333,10.9166666667	59.9625,11.3666666667	59.4736111111,11.1222222222	59.2458333333,10.9138888889	59.2125,10.8833333333	58.9333333333,10.8305555556	58.9066666667,10.7186111111	58.8058333333,10.6080555556	58.7616666667,10.5944444444	58.6969444444,10.5702777778	58.5833333333,10.5294444444	58.5,10.5	58.3658333333,10.2155555556	58.3344444444,10.1488888889	58.3247222222,10.1288888889	58.2680555556,10.01	58.2011111111,9.8711111111	58.1947222222,9.8577777778	58.1605555556,9.7861111111	58.0786111111,9.6166666667	58.0655555556,9.5908333333	58.0333333333,9.525	58.5833333333,9.6666666667	58.7136111111,9.4605555556	58.8055555556,9.3138888889
