5
75	295	1504243800	1504245599	14	50.4013888889,0.7697222222	50.3516666667,0.6413888889	50.2744444444,0.4436111111	50.2044444444,0.2647222222	50.1333333333,0.1	50.1,0.0	50.0555555556,-0.1108333333	50.1741666667,-0.1952777778	50.2297222222,-0.2530555556	50.2983333333,-0.325	50.4966666667,-0.5333333333	50.4369444444,0.2522222222	50.5583333333,0.5711111111	50.4013888889,0.7697222222
75	295	1504243800	1504245599	7	50.2297222222,-0.2530555556	50.1741666667,-0.1952777778	50.0555555556,-0.1108333333	50.0,-0.25	50.0,-0.3683333333	50.0,-0.5319444444	50.2297222222,-0.2530555556
125	295	1504243800	1504245599	6	50.4966666667,-0.5333333333	50.2983333333,-0.325	50.2297222222,-0.2530555556	50.0,-0.5319444444	50.0,-0.5333333333	50.4966666667,-0.5333333333
175	255	1504243800	1504245599	10	51.1480555556,-0.1902777778	51.0861111111,-0.11	51.0269444444,-0.0333333333	50.9844444444,0.0236111111	50.925,0.1005555556	50.8491666667,0.1986111111	50.6166666667,-0.6602777778	50.7091666667,-0.7580555556	50.7738888889,-0.8283333333	51.1480555556,-0.1902777778
175	295	1504243800	1504245599	10	50.8491666667,0.1986111111	50.7372222222,0.3427777778	50.5583333333,0.5711111111	50.4369444444,0.2522222222	50.4966666667,-0.5333333333	50.4991666667,-0.5358333333	50.5,-0.5369444444	50.5469444444,-0.5861111111	50.6166666667,-0.6602777778	50.8491666667,0.1986111111
