3
0	345	1504292400	1504295999	25	46.3027777778,-3.0397222222	46.2119444444,-2.6666666667	46.1833333333,-2.55	45.9813888889,-1.6666666667	45.5611111111,-1.6780555556	44.8166666667,-1.72	44.2,-1.7583333333	44.0666666667,-1.7666666667	43.6833333333,-2.0666666667	43.7194444444,-2.1658333333	43.8388888889,-2.5194444444	43.9108333333,-2.7288888889	43.9141666667,-2.7386111111	43.9486111111,-2.8402777778	43.9736111111,-2.9125	44.0513888889,-3.1502777778	44.2972222222,-3.8916666667	44.3288888889,-3.9875	44.3758333333,-4.2313888889	44.4125,-4.4361111111	44.4433333333,-4.6069444444	44.5052777778,-4.9475	44.5441666667,-5.1394444444	46.4566666667,-3.0713888889	46.3027777778,-3.0397222222
345	365	1504292400	1504295999	25	46.3027777778,-3.0397222222	46.2119444444,-2.6666666667	46.1833333333,-2.55	45.9813888889,-1.6666666667	45.5611111111,-1.6780555556	44.8166666667,-1.72	44.2,-1.7583333333	44.0666666667,-1.7666666667	43.6833333333,-2.0666666667	43.7194444444,-2.1658333333	43.8388888889,-2.5194444444	43.9108333333,-2.7288888889	43.9141666667,-2.7386111111	43.9486111111,-2.8402777778	43.9736111111,-2.9125	44.0513888889,-3.1502777778	44.2972222222,-3.8916666667	44.3288888889,-3.9875	44.3758333333,-4.2313888889	44.4125,-4.4361111111	44.4433333333,-4.6069444444	44.5052777778,-4.9475	44.5441666667,-5.1394444444	46.4566666667,-3.0713888889	46.3027777778,-3.0397222222
365	999	1504292400	1504295999	25	46.3027777778,-3.0397222222	46.2119444444,-2.6666666667	46.1833333333,-2.55	45.9813888889,-1.6666666667	45.5611111111,-1.6780555556	44.8166666667,-1.72	44.2,-1.7583333333	44.0666666667,-1.7666666667	43.6833333333,-2.0666666667	43.7194444444,-2.1658333333	43.8388888889,-2.5194444444	43.9108333333,-2.7288888889	43.9141666667,-2.7386111111	43.9486111111,-2.8402777778	43.9736111111,-2.9125	44.0513888889,-3.1502777778	44.2972222222,-3.8916666667	44.3288888889,-3.9875	44.3758333333,-4.2313888889	44.4125,-4.4361111111	44.4433333333,-4.6069444444	44.5052777778,-4.9475	44.5441666667,-5.1394444444	46.4566666667,-3.0713888889	46.3027777778,-3.0397222222
