41.7333333333	11.0333333333
41.7333333333	10.6833333333
41.2541666667	10.1980555556
41.1730555556	10.2397222222
40.75	11.1166666667
40.7608333333	11.3197222222
40.0280555556	11.695
40.7833333333	11.9166666667
40.7958333333	12.265
40.8	12.3833333333
41.2244444444	12.5322222222
41.2980555556	12.9
41.3333333333	13.0833333333
41.4938888889	12.7758333333
41.5333333333	12.7
41.6208333333	12.4938888889
41.7416666667	12.3252777778
41.8038888889	12.2375
42.0433333333	12.16
42.1711111111	12.0547222222
42.215	11.7325
42.2472222222	11.5322222222
42.1380555556	11.4019444444
42.0786111111	11.3313888889
41.8038888889	11.0975
41.7333333333	11.0333333333
