4
355	999	1504274400	1504276199	9	50.0,-1.0	49.6666666667,-1.0	49.6666666667,-1.5	50.0,-1.5	50.0,-1.3805555556	50.0,-1.2527777778	50.0,-1.1905555556	50.0,-1.0538888889	50.0,-1.0
355	999	1504274400	1504276199	41	50.0,-0.25	49.8166666667,-0.25	49.5266666667,-0.25	49.4469444444,-0.25	49.1666666667,-0.25	48.95,-0.25	48.9297222222,-0.25	48.8380555556,-0.25	48.7375,-0.25	48.6591666667,-0.2486111111	48.5505555556,-0.25	48.5333333333,-0.25	48.4622222222,-0.25	48.1805555556,-0.7491666667	48.1588888889,-0.9308333333	48.105,-1.6077777778	48.0666666667,-2.0861111111	48.0552777778,-2.2055555556	48.0475,-2.2588888889	48.9011111111,-2.8061111111	49.0333333333,-2.6880555556	49.4769444444,-2.2255555556	49.7286111111,-1.9736111111	50.0,-2.0	50.0,-1.9747222222	50.0,-1.8833333333	50.0,-1.8591666667	50.0,-1.845	50.0,-1.7833333333	50.0,-1.7169444444	50.0,-1.6913888889	50.0,-1.5102777778	50.0,-1.5	49.6666666667,-1.5	49.6666666667,-1.0	50.0,-1.0	50.0,-0.8333333333	50.0,-0.5333333333	50.0,-0.5319444444	50.0,-0.3683333333	50.0,-0.25
345	355	1504274400	1504276199	9	50.0,-1.0	49.6666666667,-1.0	49.6666666667,-1.5	50.0,-1.5	50.0,-1.3805555556	50.0,-1.2527777778	50.0,-1.1905555556	50.0,-1.0538888889	50.0,-1.0
345	355	1504274400	1504276199	41	50.0,-0.25	49.8166666667,-0.25	49.5266666667,-0.25	49.4469444444,-0.25	49.1666666667,-0.25	48.95,-0.25	48.9297222222,-0.25	48.8380555556,-0.25	48.7375,-0.25	48.6591666667,-0.2486111111	48.5505555556,-0.25	48.5333333333,-0.25	48.4622222222,-0.25	48.1805555556,-0.7491666667	48.1588888889,-0.9308333333	48.105,-1.6077777778	48.0666666667,-2.0861111111	48.0552777778,-2.2055555556	48.0475,-2.2588888889	48.9011111111,-2.8061111111	49.0333333333,-2.6880555556	49.4769444444,-2.2255555556	49.7286111111,-1.9736111111	50.0,-2.0	50.0,-1.9747222222	50.0,-1.8833333333	50.0,-1.8591666667	50.0,-1.845	50.0,-1.7833333333	50.0,-1.7169444444	50.0,-1.6913888889	50.0,-1.5102777778	50.0,-1.5	49.6666666667,-1.5	49.6666666667,-1.0	50.0,-1.0	50.0,-0.8333333333	50.0,-0.5333333333	50.0,-0.5319444444	50.0,-0.3683333333	50.0,-0.25
