4
285	295	1504252800	1504270799	22	50.0,-0.25	50.0555555556,-0.1108333333	50.1,0.0	50.1333333333,0.1	50.2044444444,0.2647222222	50.2744444444,0.4436111111	50.3516666667,0.6413888889	50.4013888889,0.7697222222	50.0697222222,1.2083333333	49.9780555556,1.3288888889	49.9219444444,1.4033333333	49.8333333333,1.5175	49.7594444444,1.6127777778	49.6558333333,1.7455555556	49.605,1.8108333333	49.0944444444,1.0847222222	49.125,0.5202777778	49.1666666667,-0.25	49.4469444444,-0.25	49.5266666667,-0.25	49.8166666667,-0.25	50.0,-0.25
265	285	1504252800	1504270799	22	50.0,-0.25	50.0555555556,-0.1108333333	50.1,0.0	50.1333333333,0.1	50.2044444444,0.2647222222	50.2744444444,0.4436111111	50.3516666667,0.6413888889	50.4013888889,0.7697222222	50.0697222222,1.2083333333	49.9780555556,1.3288888889	49.9219444444,1.4033333333	49.8333333333,1.5175	49.7594444444,1.6127777778	49.6558333333,1.7455555556	49.605,1.8108333333	49.0944444444,1.0847222222	49.125,0.5202777778	49.1666666667,-0.25	49.4469444444,-0.25	49.5266666667,-0.25	49.8166666667,-0.25	50.0,-0.25
245	265	1504252800	1504270799	22	50.0,-0.25	50.0555555556,-0.1108333333	50.1,0.0	50.1333333333,0.1	50.2044444444,0.2647222222	50.2744444444,0.4436111111	49.9361111111,0.8333333333	49.8477777778,0.9352777778	49.7313888889,1.0683333333	49.8997222222,1.5105555556	49.8333333333,1.5880555556	49.7241666667,1.7155555556	49.685,1.7583333333	49.6183333333,1.8297222222	49.605,1.8108333333	49.0944444444,1.0847222222	49.125,0.5202777778	49.1666666667,-0.25	49.4469444444,-0.25	49.5266666667,-0.25	49.8166666667,-0.25	50.0,-0.25
245	265	1504252800	1504270799	12	50.2744444444,0.4436111111	50.3516666667,0.6413888889	50.4013888889,0.7697222222	50.4213888889,0.8213888889	50.2747222222,1.0188888889	49.9975,1.3880555556	49.9488888889,1.4525	49.8997222222,1.5105555556	49.7313888889,1.0683333333	49.8477777778,0.9352777778	49.9361111111,0.8333333333	50.2744444444,0.4436111111
