3
345	999	1504285200	1504288799	16	48.25,5.7333333333	47.9833333333,6.0	47.4666666667,5.7833333333	47.6127777778,5.5472222222	47.7469444444,5.3288888889	47.7783333333,5.2741666667	47.9741666667,4.9527777778	48.1916666667,4.5863888889	48.2702777778,4.4583333333	48.4938888889,3.9636111111	48.7,3.5	48.95,4.1666666667	48.9738888889,4.2319444444	48.95,4.8	48.5041666667,5.3986111111	48.25,5.7333333333
225	265	1504285200	1504288799	12	47.9833333333,6.0	47.4666666667,5.7833333333	47.6127777778,5.5472222222	47.7469444444,5.3288888889	47.7783333333,5.2741666667	47.9741666667,4.9527777778	48.0166666667,5.0	48.1277777778,5.1227777778	48.1666666667,5.1666666667	48.2166666667,5.5	48.25,5.7333333333	47.9833333333,6.0
265	345	1504285200	1504288799	16	48.25,5.7333333333	47.9833333333,6.0	47.4666666667,5.7833333333	47.6127777778,5.5472222222	47.7469444444,5.3288888889	47.7783333333,5.2741666667	47.9741666667,4.9527777778	48.1916666667,4.5863888889	48.2702777778,4.4583333333	48.4938888889,3.9636111111	48.7,3.5	48.95,4.1666666667	48.9738888889,4.2319444444	48.95,4.8	48.5041666667,5.3986111111	48.25,5.7333333333
