4
365	999	1504245600	1504249199	39	50.255,17.4491666667	50.3022222222,17.3505555556	50.375,17.1988888889	50.4480555556,16.9044444444	50.3080555556,16.9733333333	50.3252777778,16.4258333333	50.3827777778,16.3061111111	50.4352777778,16.1986111111	50.575,16.4166666667	50.5875,16.4408333333	50.6252777778,16.1858333333	50.6505555556,16.0852777778	50.7541666667,15.6738888889	50.7808333333,15.5244444444	50.8077777778,15.3738888889	50.8080555556,15.3738888889	50.8608333333,15.3366666667	50.9980555556,15.24	51.0138888889,15.0947222222	51.0,15.0	50.9961111111,14.9741666667	50.9905555556,14.9169444444	51.1183333333,14.9902777778	51.2030555556,15.0105555556	51.4069444444,14.9616666667	51.5,15.0	51.6005555556,16.0047222222	51.7102777778,17.2391666667	50.6877777778,18.4577777778	50.3488888889,18.2738888889	50.0477777778,18.0977777778	50.0266666667,18.0969444444	50.0533333333,18.005	50.0730555556,17.7508333333	50.0966666667,17.7080555556	50.1116666667,17.6805555556	50.1533333333,17.6041666667	50.1597222222,17.5925	50.255,17.4491666667
365	999	1504245600	1504249199	11	51.7102777778,17.2391666667	51.73,17.3988888889	51.75,17.6783333333	51.7694444444,17.9444444444	51.7855555556,18.17	51.0727777778,19.1269444444	50.9452777778,18.855	50.8944444444,18.7383333333	50.7152777778,18.4947222222	50.6877777778,18.4577777778	51.7102777778,17.2391666667
245	285	1504245600	1504249199	39	50.3252777778,16.4258333333	50.3827777778,16.3061111111	50.4352777778,16.1986111111	50.575,16.4166666667	50.5875,16.4408333333	50.6252777778,16.1858333333	50.6505555556,16.0852777778	50.7541666667,15.6738888889	50.7808333333,15.5244444444	50.8077777778,15.3738888889	50.8080555556,15.3738888889	50.8608333333,15.3366666667	50.9980555556,15.24	51.0138888889,15.0947222222	51.0,15.0	50.9961111111,14.9741666667	50.9905555556,14.9169444444	51.1183333333,14.9902777778	51.2030555556,15.0105555556	51.4069444444,14.9616666667	51.5,15.0	51.6005555556,16.0047222222	51.7102777778,17.2391666667	50.6877777778,18.4577777778	50.6533333333,18.4116666667	50.5261111111,18.2475	50.4655555556,18.1913888889	50.3755555556,18.1086111111	50.3327777778,17.9238888889	50.3894444444,17.7247222222	50.3261111111,17.6966666667	50.2727777778,17.6347222222	50.2688888889,17.4675	50.255,17.4491666667	50.3022222222,17.3505555556	50.375,17.1988888889	50.4480555556,16.9044444444	50.3080555556,16.9733333333	50.3252777778,16.4258333333
285	365	1504245600	1504249199	39	50.255,17.4491666667	50.3022222222,17.3505555556	50.375,17.1988888889	50.4480555556,16.9044444444	50.3080555556,16.9733333333	50.3252777778,16.4258333333	50.3827777778,16.3061111111	50.4352777778,16.1986111111	50.575,16.4166666667	50.5875,16.4408333333	50.6252777778,16.1858333333	50.6505555556,16.0852777778	50.7541666667,15.6738888889	50.7808333333,15.5244444444	50.8077777778,15.3738888889	50.8080555556,15.3738888889	50.8608333333,15.3366666667	50.9980555556,15.24	51.0138888889,15.0947222222	51.0,15.0	50.9961111111,14.9741666667	50.9905555556,14.9169444444	51.1183333333,14.9902777778	51.2030555556,15.0105555556	51.4069444444,14.9616666667	51.5,15.0	51.6005555556,16.0047222222	51.7102777778,17.2391666667	50.6877777778,18.4577777778	50.3488888889,18.2738888889	50.0477777778,18.0977777778	50.0266666667,18.0969444444	50.0533333333,18.005	50.0730555556,17.7508333333	50.0966666667,17.7080555556	50.1116666667,17.6805555556	50.1533333333,17.6041666667	50.1597222222,17.5925	50.255,17.4491666667
