3
245	345	1504297800	1504299599	25	49.365,9.1105555556	49.0563888889,9.8963888889	48.9486111111,10.0969444444	48.8486111111,9.865	48.8105555556,9.7763888889	48.6986111111,9.6863888889	48.6213888889,9.6244444444	48.5944444444,9.6033333333	48.5277777778,9.55	48.5125,9.55	48.4666666667,9.55	48.4419444444,9.55	48.3933333333,9.55	48.3625,9.55	48.2941666667,9.55	48.1666666667,9.55	48.0352777778,9.55	47.9733333333,9.55	47.9569444444,9.55	47.89,9.55	47.8902777778,9.1369444444	47.8333333333,8.8583333333	47.8333333333,8.6166666667	48.6655555556,8.8161111111	49.365,9.1105555556
345	375	1504297800	1504299599	25	49.365,9.1105555556	49.0563888889,9.8963888889	48.9486111111,10.0969444444	48.8486111111,9.865	48.8105555556,9.7763888889	48.6986111111,9.6863888889	48.6213888889,9.6244444444	48.5944444444,9.6033333333	48.5277777778,9.55	48.5125,9.55	48.4666666667,9.55	48.4419444444,9.55	48.3933333333,9.55	48.3625,9.55	48.2941666667,9.55	48.1666666667,9.55	48.0352777778,9.55	47.9733333333,9.55	47.9569444444,9.55	47.89,9.55	47.8902777778,9.1369444444	47.8333333333,8.8583333333	47.8333333333,8.6166666667	48.6655555556,8.8161111111	49.365,9.1105555556
375	999	1504297800	1504299599	25	49.365,9.1105555556	49.0563888889,9.8963888889	48.9486111111,10.0969444444	48.8486111111,9.865	48.8105555556,9.7763888889	48.6986111111,9.6863888889	48.6213888889,9.6244444444	48.5944444444,9.6033333333	48.5277777778,9.55	48.5125,9.55	48.4666666667,9.55	48.4419444444,9.55	48.3933333333,9.55	48.3625,9.55	48.2941666667,9.55	48.1666666667,9.55	48.0352777778,9.55	47.9733333333,9.55	47.9569444444,9.55	47.89,9.55	47.8902777778,9.1369444444	47.8333333333,8.8583333333	47.8333333333,8.6166666667	48.6655555556,8.8161111111	49.365,9.1105555556
